,FIPS,hh_income,house_value,State,County,Tract_ID
1970,36081067100,104839.0,731400.0,NEW YORK,Queens County,067100
1971,36081067700,105583.0,813600.0,NEW YORK,Queens County,067700
1972,36081067900,62266.0,860800.0,NEW YORK,Queens County,067900
1973,36081068000,114327.0,491000.0,NEW YORK,Queens County,068000
1974,36081068200,93631.0,545400.0,NEW YORK,Queens County,068200
1975,36081068300,59107.0,411800.0,NEW YORK,Queens County,068300
1976,36081068700,56855.0,711900.0,NEW YORK,Queens County,068700
1977,36081069000,108897.0,579700.0,NEW YORK,Queens County,069000
1978,36081069300,75119.0,430100.0,NEW YORK,Queens County,069300
1979,36081069400,93675.0,538100.0,NEW YORK,Queens County,069400
1980,36081069500,100903.0,859200.0,NEW YORK,Queens County,069500
1981,36081069701,93032.0,415400.0,NEW YORK,Queens County,069701
1982,36081069702,79433.0,879800.0,NEW YORK,Queens County,069702
1983,36081070300,85805.0,797400.0,NEW YORK,Queens County,070300
1984,36081070700,110052.0,872900.0,NEW YORK,Queens County,070700
1985,36081070900,105167.0,869100.0,NEW YORK,Queens County,070900
1986,36081071100,87682.0,465500.0,NEW YORK,Queens County,071100
1987,36081071303,89412.0,363100.0,NEW YORK,Queens County,071303
1988,36081071304,88549.0,417000.0,NEW YORK,Queens County,071304
1989,36081071305,100685.0,534800.0,NEW YORK,Queens County,071305
1990,36081071306,86686.0,369700.0,NEW YORK,Queens County,071306
1992,36081071701,61426.0,344800.0,NEW YORK,Queens County,071701
1993,36081071702,79292.0,355900.0,NEW YORK,Queens County,071702
1994,36081071900,49674.0,796200.0,NEW YORK,Queens County,071900
1995,36081072100,76318.0,335500.0,NEW YORK,Queens County,072100
1996,36081072300,171250.0,1308600.0,NEW YORK,Queens County,072300
1997,36081072900,151932.0,981200.0,NEW YORK,Queens County,072900
1998,36081073100,145529.0,1026900.0,NEW YORK,Queens County,073100
1999,36081073700,106023.0,812500.0,NEW YORK,Queens County,073700
2000,36081073900,109276.0,558500.0,NEW YORK,Queens County,073900
2001,36081074100,83214.0,351700.0,NEW YORK,Queens County,074100
2002,36081074300,76875.0,425200.0,NEW YORK,Queens County,074300
2003,36081074500,46659.0,515600.0,NEW YORK,Queens County,074500
2004,36081074700,109240.0,626700.0,NEW YORK,Queens County,074700
2005,36081074900,211020.0,1515200.0,NEW YORK,Queens County,074900
2006,36081075701,99954.0,385600.0,NEW YORK,Queens County,075701
2007,36081075702,123170.0,465100.0,NEW YORK,Queens County,075702
2008,36081076901,97097.0,408400.0,NEW YORK,Queens County,076901
2009,36081076902,98438.0,365900.0,NEW YORK,Queens County,076902
2010,36081077300,99444.0,295600.0,NEW YORK,Queens County,077300
2011,36081077500,90781.0,1068500.0,NEW YORK,Queens County,077500
2012,36081077902,92214.0,818700.0,NEW YORK,Queens County,077902
2013,36081077903,84318.0,283300.0,NEW YORK,Queens County,077903
